country,year,predicted,model
Ireland,2025,16063880.379642213,RF
Italy,2025,3924386.6833754387,RF
Latvia,2025,1363766.4551863817,RF
Lithuania,2025,122322.46031742277,RF
Luxembourg,2025,575725.2458975608,RF
Malta,2025,4049540.295574041,RF
Netherlands,2025,9630258.483089436,RF
Poland,2025,4282072.283180924,RF
Portugal,2025,4529094.536207362,RF
Romania,2025,517693.10988464067,RF
Slovak Republic,2025,102635.53122988336,RF
Slovenia,2025,150799.96355719806,RF
Spain,2025,14256177.576221056,RF
Sweden,2025,3125671.152045803,RF
Austria,2026,3520950.938131934,RF
Belgium,2026,2321005.2600596114,RF
Bulgaria,2026,227827.27388876246,RF
Croatia,2026,232322.89983191635,RF
Cyprus,2026,72855.59671689877,RF
Czech Republic,2026,1234920.7023217632,RF
Denmark,2026,2298941.8761085947,RF
Estonia,2026,266706.5611702086,RF
Finland,2026,3411280.2386910813,RF
France,2026,18414751.942861643,RF
Germany,2026,17962214.56036923,RF
Greece,2026,2603102.9315676754,RF
Hungary,2026,3534494.3822468673,RF
Ireland,2026,16213670.325513003,RF
Italy,2026,3930752.583316928,RF
Latvia,2026,1779410.5122948238,RF
Lithuania,2026,128722.47736882386,RF
Luxembourg,2026,566609.1122485265,RF
Malta,2026,4124899.8721097545,RF
Netherlands,2026,10013613.374508401,RF
Poland,2026,4475219.112831167,RF
Portugal,2026,4668612.632479952,RF
Romania,2026,540741.1374432967,RF
Slovak Republic,2026,121242.18255502405,RF
Slovenia,2026,155078.61063674043,RF
Spain,2026,14419268.283021234,RF
Sweden,2026,3726091.7317617135,RF
Austria,2027,3432057.780194602,RF
Belgium,2027,2492500.215631492,RF
Bulgaria,2027,235388.66982641994,RF
Croatia,2027,238411.18745413885,RF
Cyprus,2027,84734.92063110296,RF
Czech Republic,2027,1544823.280570889,RF
Denmark,2027,2505466.117941547,RF
Estonia,2027,281653.5915232887,RF
Finland,2027,3429436.0242135786,RF
France,2027,19106270.5134224,RF
Germany,2027,17894976.25430306,RF
Greece,2027,3094572.4627186446,RF
Hungary,2027,3580045.607864655,RF
Ireland,2027,16090972.557182748,RF
Italy,2027,3942510.73038335,RF
Latvia,2027,2771234.752977557,RF
Lithuania,2027,132000.33241375524,RF
Luxembourg,2027,580806.3393579926,RF
Malta,2027,4181941.293819093,RF
Netherlands,2027,10447626.27434661,RF
Poland,2027,4463324.775606472,RF
Portugal,2027,4703556.126373154,RF
Romania,2027,532457.0040152366,RF
Slovak Republic,2027,126707.97447145924,RF
Slovenia,2027,156073.26288562754,RF
Spain,2027,14534275.817899073,RF
Sweden,2027,3833449.9445704967,RF
Austria,2028,3469369.1265327036,RF
Belgium,2028,2736764.131142356,RF
Bulgaria,2028,232631.7017800261,RF
Croatia,2028,242652.98305186708,RF
Cyprus,2028,96986.85556906721,RF
Czech Republic,2028,2182418.679334851,RF
Denmark,2028,2802126.4126505028,RF
Estonia,2028,405334.2095395855,RF
Finland,2028,3361728.22899375,RF
France,2028,19326545.662292443,RF
Germany,2028,18413234.11728299,RF
Greece,2028,3433387.110084989,RF
Hungary,2028,3525844.750933766,RF
Ireland,2028,16090972.557182753,RF
Italy,2028,3935186.8621009802,RF
Latvia,2028,3433507.8699125308,RF
Lithuania,2028,132430.33561416817,RF
Luxembourg,2028,628313.3199106994,RF
Malta,2028,4152104.211395345,RF
Netherlands,2028,10813854.648033042,RF
Poland,2028,4524736.894009264,RF
Portugal,2028,4690934.095283773,RF
Romania,2028,605736.3997370469,RF
Slovak Republic,2028,131191.75890367242,RF
Slovenia,2028,156073.2628856275,RF
Spain,2028,14785014.93913848,RF
Sweden,2028,3979413.188700096,RF
Austria,2029,3455072.048010105,RF
Belgium,2029,2913594.3379919026,RF
Bulgaria,2029,232773.67914640968,RF
Croatia,2029,246739.72797597502,RF
Cyprus,2029,109823.85136154115,RF
Czech Republic,2029,2428454.6797735323,RF
Denmark,2029,3260222.930732915,RF
Estonia,2029,594874.5037010456,RF
Finland,2029,3414931.984474346,RF
France,2029,19504159.31221403,RF
Germany,2029,19516230.540258173,RF
Greece,2029,3578820.6994031854,RF
Hungary,2029,3505873.0413517766,RF
Ireland,2029,16098917.235804113,RF
Italy,2029,3932249.5213807602,RF
Latvia,2029,3838439.7828050815,RF
Lithuania,2029,131620.99435658703,RF
Luxembourg,2029,863341.5790041639,RF
Malta,2029,4103813.477776902,RF
Netherlands,2029,11268754.950118672,RF
Poland,2029,4572301.730778866,RF
Portugal,2029,4715326.885326535,RF
Romania,2029,748398.1472526602,RF
Slovak Republic,2029,131410.6922666527,RF
Slovenia,2029,157302.76940507448,RF
Spain,2029,14961022.971209044,RF
Sweden,2029,4132097.6233299016,RF
Austria,2025,3428439.0,XGB
Belgium,2025,1606160.125,XGB
Bulgaria,2025,238252.34375,XGB
Croatia,2025,219084.359375,XGB
Cyprus,2025,95467.375,XGB
Czech Republic,2025,999864.5,XGB
Denmark,2025,1864090.75,XGB
Estonia,2025,245036.09375,XGB
Finland,2025,2419771.75,XGB
France,2025,17763664.0,XGB
Germany,2025,17702154.0,XGB
Greece,2025,1949472.125,XGB
Hungary,2025,2972625.25,XGB
Ireland,2025,15665138.0,XGB
Italy,2025,3823893.25,XGB
Latvia,2025,1403598.75,XGB
Lithuania,2025,121104.5625,XGB
Luxembourg,2025,586570.125,XGB
Malta,2025,4005176.5,XGB
Netherlands,2025,9596032.0,XGB
Poland,2025,4098655.25,XGB
Portugal,2025,4448979.0,XGB
Romania,2025,288517.9375,XGB
Slovak Republic,2025,80187.75,XGB
Slovenia,2025,156310.34375,XGB
Spain,2025,14940653.0,XGB
Sweden,2025,2467991.25,XGB
Austria,2026,3263006.75,XGB
Belgium,2026,1776707.5,XGB
Bulgaria,2026,243812.671875,XGB
Croatia,2026,214330.0625,XGB
Cyprus,2026,83486.515625,XGB
Czech Republic,2026,978925.25,XGB
Denmark,2026,1967549.875,XGB
Estonia,2026,239000.4375,XGB
Finland,2026,2256609.25,XGB
France,2026,17833578.0,XGB
Germany,2026,17240974.0,XGB
Greece,2026,1984016.125,XGB
