country,year,predicted,model
Malta,2028,14265177.050172152,RF
Netherlands,2028,84016368.02578773,RF
Poland,2028,72368475.20882738,RF
Portugal,2028,71776622.2563631,RF
Romania,2028,49569695.377910376,RF
Slovak Republic,2028,2693620.0313249077,RF
Slovenia,2028,1608080.8997461724,RF
Spain,2028,218373412.37271652,RF
Sweden,2028,45488987.80430955,RF
Austria,2029,37383604.80185637,RF
Belgium,2029,34501236.13548642,RF
Bulgaria,2029,13471302.6287847,RF
Croatia,2029,14946986.414641485,RF
Cyprus,2029,13635237.068437355,RF
Czech Republic,2029,30961743.868156724,RF
Denmark,2029,37713299.95822706,RF
Estonia,2029,3968647.407618554,RF
Finland,2029,31934527.23076871,RF
France,2029,227831090.83227605,RF
Germany,2029,215189905.18023816,RF
Greece,2029,75161925.89154762,RF
Hungary,2029,34288980.73256858,RF
Ireland,2029,54376670.58745239,RF
Italy,2029,217394170.45944273,RF
Latvia,2029,6124452.674088528,RF
Lithuania,2029,6348793.277470083,RF
Luxembourg,2029,6651003.522037639,RF
Malta,2029,16329115.57557279,RF
Netherlands,2029,91460938.73493059,RF
Poland,2029,74099627.39114882,RF
Portugal,2029,72618003.67701785,RF
Romania,2029,56518782.31378536,RF
Slovak Republic,2029,2712509.7341011595,RF
Slovenia,2029,1562502.1181469664,RF
Spain,2029,218612786.55854985,RF
Sweden,2029,49380427.36676423,RF
Austria,2025,34751156.0,XGB
Belgium,2025,36285972.0,XGB
Bulgaria,2025,9097998.0,XGB
Croatia,2025,9826542.0,XGB
Cyprus,2025,9791788.0,XGB
Czech Republic,2025,16200970.0,XGB
Denmark,2025,34615660.0,XGB
Estonia,2025,2864891.5,XGB
Finland,2025,17133744.0,XGB
France,2025,153214656.0,XGB
Germany,2025,201476896.0,XGB
Greece,2025,67003716.0,XGB
Hungary,2025,14177624.0,XGB
Ireland,2025,42273896.0,XGB
Italy,2025,208645120.0,XGB
Latvia,2025,5778723.5,XGB
Lithuania,2025,5578655.0,XGB
Luxembourg,2025,4267656.5,XGB
Malta,2025,8200958.5,XGB
Netherlands,2025,76196120.0,XGB
Poland,2025,55895168.0,XGB
Portugal,2025,69763904.0,XGB
Romania,2025,25338800.0,XGB
Slovak Republic,2025,2169040.75,XGB
Slovenia,2025,1611145.125,XGB
Spain,2025,185289440.0,XGB
Sweden,2025,30330296.0,XGB
Austria,2026,34205616.0,XGB
Belgium,2026,37017808.0,XGB
Bulgaria,2026,8861597.0,XGB
Croatia,2026,8955893.0,XGB
Cyprus,2026,9354431.0,XGB
Czech Republic,2026,17138070.0,XGB
Denmark,2026,34469556.0,XGB
Estonia,2026,3394846.0,XGB
Finland,2026,16907118.0,XGB
France,2026,144737776.0,XGB
Germany,2026,206859280.0,XGB
Greece,2026,68656312.0,XGB
Hungary,2026,14762000.0,XGB
Ireland,2026,45395788.0,XGB
Italy,2026,224196832.0,XGB
Latvia,2026,5428958.0,XGB
Lithuania,2026,5495067.0,XGB
Luxembourg,2026,1770633.125,XGB
Malta,2026,6415187.0,XGB
Netherlands,2026,84443240.0,XGB
Poland,2026,55490392.0,XGB
Portugal,2026,74191808.0,XGB
Romania,2026,29422368.0,XGB
Slovak Republic,2026,2020800.125,XGB
Slovenia,2026,1632119.375,XGB
Spain,2026,182346160.0,XGB
Sweden,2026,31778356.0,XGB
Austria,2027,37706892.0,XGB
Belgium,2027,40570748.0,XGB
Bulgaria,2027,12399574.0,XGB
Croatia,2027,11878113.0,XGB
Cyprus,2027,13547697.0,XGB
Czech Republic,2027,22410730.0,XGB
Denmark,2027,37976860.0,XGB
Estonia,2027,5057694.0,XGB
Finland,2027,22743758.0,XGB
France,2027,163393936.0,XGB
Germany,2027,215144624.0,XGB
Greece,2027,72210992.0,XGB
Hungary,2027,22342168.0,XGB
Ireland,2027,49661220.0,XGB
Italy,2027,249465856.0,XGB
Latvia,2027,8468190.0,XGB
Lithuania,2027,9006049.0,XGB
Luxembourg,2027,3193696.5,XGB
Malta,2027,9426199.0,XGB
Netherlands,2027,72380600.0,XGB
Poland,2027,61158396.0,XGB
Portugal,2027,81274296.0,XGB
Romania,2027,36891844.0,XGB
Slovak Republic,2027,2648014.0,XGB
Slovenia,2027,2476214.25,XGB
Spain,2027,240451136.0,XGB
Sweden,2027,37208844.0,XGB
Austria,2028,40993612.0,XGB
Belgium,2028,46666748.0,XGB
Bulgaria,2028,14644386.0,XGB
Croatia,2028,13360934.0,XGB
Cyprus,2028,16509736.0,XGB
Czech Republic,2028,27348872.0,XGB
Denmark,2028,41090480.0,XGB
Estonia,2028,7435703.5,XGB
Finland,2028,28720126.0,XGB
France,2028,173044016.0,XGB
Germany,2028,217477312.0,XGB
Greece,2028,73453448.0,XGB
Hungary,2028,23884342.0,XGB
Ireland,2028,50965192.0,XGB
Italy,2028,192999600.0,XGB
Latvia,2028,9147960.0,XGB
Lithuania,2028,11482298.0,XGB
Luxembourg,2028,2941427.0,XGB
Malta,2028,12217019.0,XGB
Netherlands,2028,83034216.0,XGB
Poland,2028,70449632.0,XGB
Portugal,2028,68029192.0,XGB
Romania,2028,43943844.0,XGB
Slovak Republic,2028,2771604.5,XGB
Slovenia,2028,2993702.0,XGB
Spain,2028,254375120.0,XGB
Sweden,2028,41401964.0,XGB
Austria,2029,44335604.0,XGB
Belgium,2029,49158220.0,XGB
Bulgaria,2029,16994994.0,XGB
Croatia,2029,15895989.0,XGB
Cyprus,2029,18823806.0,XGB
Czech Republic,2029,31464470.0,XGB
Denmark,2029,44452476.0,XGB
Estonia,2029,8725582.0,XGB
Finland,2029,34585256.0,XGB
France,2029,160742544.0,XGB
Germany,2029,207950032.0,XGB
Greece,2029,76496256.0,XGB
Hungary,2029,29163792.0,XGB
Ireland,2029,52955168.0,XGB
Italy,2029,184935424.0,XGB
Latvia,2029,11537514.0,XGB
Lithuania,2029,13254536.0,XGB
Luxembourg,2029,2257829.75,XGB
Malta,2029,12945161.0,XGB
Netherlands,2029,72757152.0,XGB
Poland,2029,77890592.0,XGB
Portugal,2029,78340552.0,XGB
Romania,2029,49273280.0,XGB
Slovak Republic,2029,2802569.75,XGB
Slovenia,2029,2956358.75,XGB
Spain,2029,199586240.0,XGB
Sweden,2029,46344508.0,XGB
